Entity,Code,Day,Unvaccinated,"Fully vaccinated, no booster",Fully vaccinated + booster
00-09,,2021-01-30,0,,
00-09,,2021-02-06,0,,
00-09,,2021-02-13,0,,
00-09,,2021-02-20,0,,
00-09,,2021-02-27,0,,
00-09,,2021-03-06,0,,
00-09,,2021-03-13,0,,
00-09,,2021-03-20,0,,
00-09,,2021-03-27,0,,
00-09,,2021-04-03,0,,
00-09,,2021-04-10,0,,
00-09,,2021-04-17,0,,
00-09,,2021-04-24,0,,
00-09,,2021-05-01,0,,
00-09,,2021-05-08,0,,
00-09,,2021-05-15,0,,
00-09,,2021-05-22,0,,
00-09,,2021-05-29,0,,
00-09,,2021-06-05,0,,
00-09,,2021-06-12,0,,
00-09,,2021-06-19,0,,
00-09,,2021-06-26,0,,
00-09,,2021-07-03,0,,
00-09,,2021-07-10,0,,
00-09,,2021-07-17,0,0,
00-09,,2021-07-24,0,0,
00-09,,2021-07-31,0,0,
00-09,,2021-08-07,0,0,
00-09,,2021-08-14,0,0,
00-09,,2021-08-21,0,0,
00-09,,2021-08-28,0,0,
00-09,,2021-09-04,0,0,
00-09,,2021-09-11,0,0,
00-09,,2021-09-18,0,0,
00-09,,2021-09-25,0,0,
00-09,,2021-10-02,0,0,
00-09,,2021-10-09,0,0,
00-09,,2021-10-16,0,0,
00-09,,2021-10-23,0,0,
00-09,,2021-10-30,0,0,
00-09,,2021-11-06,0,0,
00-09,,2021-11-13,0,0,
00-09,,2021-11-20,0,0,
00-09,,2021-11-27,0,0,
00-09,,2021-12-04,0,,
00-09,,2021-12-11,0,,
00-09,,2021-12-18,0,,0
00-09,,2021-12-25,0,,0
00-09,,2022-01-01,0,,0
10-19,,2021-01-30,0,,
10-19,,2021-02-06,0,0,
10-19,,2021-02-13,0,0,
10-19,,2021-02-20,0,0,
10-19,,2021-02-27,0,0,
10-19,,2021-03-06,0,0,
10-19,,2021-03-13,0,0,
10-19,,2021-03-20,0,0,
10-19,,2021-03-27,0,0,
10-19,,2021-04-03,0,0,
10-19,,2021-04-10,0,0,
10-19,,2021-04-17,0,0,
10-19,,2021-04-24,0,0,
10-19,,2021-05-01,0,0,
10-19,,2021-05-08,0,0,
10-19,,2021-05-15,0,0,
10-19,,2021-05-22,0,0,
10-19,,2021-05-29,0,0,
10-19,,2021-06-05,0,0,
10-19,,2021-06-12,0,0,
10-19,,2021-06-19,0,0,
10-19,,2021-06-26,0,0,
10-19,,2021-07-03,0,0,
10-19,,2021-07-10,0,0,
10-19,,2021-07-17,0,0,
10-19,,2021-07-24,0,0,
10-19,,2021-07-31,0,0,
10-19,,2021-08-07,0,0,
10-19,,2021-08-14,0,0,
10-19,,2021-08-21,0,0,
10-19,,2021-08-28,0,0,
10-19,,2021-09-04,0,0,
10-19,,2021-09-11,0,0,
10-19,,2021-09-18,0,0,
10-19,,2021-09-25,0,0,
10-19,,2021-10-02,0,0,
10-19,,2021-10-09,0,0,
10-19,,2021-10-16,0,0,
10-19,,2021-10-23,0,0,
10-19,,2021-10-30,0,0,
10-19,,2021-11-06,0,0,
10-19,,2021-11-13,0,0,
10-19,,2021-11-20,0,0,
10-19,,2021-11-27,0,0,0
10-19,,2021-12-04,0,0,0
10-19,,2021-12-11,0,0,0
10-19,,2021-12-18,0,0,0
10-19,,2021-12-25,0,0,0
10-19,,2022-01-01,0,0,0
20-29,,2021-01-30,0,0,
20-29,,2021-02-06,0,0,
20-29,,2021-02-13,0,0,
20-29,,2021-02-20,0,0,
20-29,,2021-02-27,0,0,
20-29,,2021-03-06,0,0,
20-29,,2021-03-13,0,0,
20-29,,2021-03-20,0,0,
20-29,,2021-03-27,0,0,
20-29,,2021-04-03,0,0,
20-29,,2021-04-10,0,0,
20-29,,2021-04-17,0,0,
20-29,,2021-04-24,0,0,
20-29,,2021-05-01,0,0,
20-29,,2021-05-08,0,0,
20-29,,2021-05-15,0,0,
20-29,,2021-05-22,0,0,
20-29,,2021-05-29,0,0,
20-29,,2021-06-05,0,0,
20-29,,2021-06-12,0,0,
20-29,,2021-06-19,0,0,
20-29,,2021-06-26,0,0,
20-29,,2021-07-03,0,0,
20-29,,2021-07-10,0,0,
20-29,,2021-07-17,0,0,
